model_name,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,param_model__learning_rate,param_model__l2_regularization,param_model__max_iter,param_model__max_leaf_nodes
Gradient Boosting,0.2620220184326172,0.06723093611525763,0.021634912490844725,0.0033980941811805263,,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__min_samples_leaf': 2, 'model__n_estimators': 100}",-13.181415469954347,-12.60099938237145,-11.004958234960474,-21.41213378918695,-10.194987532768256,-13.678898881848294,4.012477441169999,32,2,,2.0,100.0,0.05,,,
Gradient Boosting,0.39869179725646975,0.05854968530472185,0.014069175720214844,0.0018873732127479524,,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",-13.618151590117721,-11.337440026917056,-11.950084447410326,-21.583053750801835,-10.966384134689099,-13.891022789987208,3.9517929306948005,34,2,,2.0,200.0,0.05,,,
Gradient Boosting,0.18817214965820311,0.011453042794931955,0.013341474533081054,0.002004086516009289,,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",-11.644596846069227,-11.78117536508362,-10.125565304190541,-21.23013102563086,-11.304560827732152,-13.217205873741282,4.048671504303878,13,3,,1.0,100.0,0.05,,,
Gradient Boosting,0.3530618190765381,0.008203106576145914,0.012680482864379884,0.0004804581344484436,,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",-12.030602394043656,-11.518399076373187,-10.423598968921203,-21.144953742971534,-11.601714348725839,-13.343853706207081,3.936420014927601,19,3,,1.0,200.0,0.05,,,
Gradient Boosting,0.17884840965270996,0.002210404554113813,0.01228504180908203,0.0002583508563679624,,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__n_estimators': 100}",-12.606401115368769,-10.868927292321471,-11.493822387407713,-20.972956205102992,-11.246149135258745,-13.437651227091939,3.8118576177354266,24,3,,2.0,100.0,0.05,,,
Gradient Boosting,0.35012116432189944,0.01072339609154066,0.012562036514282227,0.0001941195227692564,,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",-13.293160531017048,-9.900391127454787,-11.451953322626698,-20.903014730611805,-10.900009530451914,-13.289705848432451,3.9632794800875164,16,3,,2.0,200.0,0.05,,,
Gradient Boosting,0.14353742599487304,0.012389282288086664,0.014109086990356446,0.0023651496361278106,,"{'model__learning_rate': 0.1, 'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",-9.239025903769766,-12.053389691573651,-9.35269301130749,-20.738327836672624,-10.534241961708847,-12.383535681006475,4.298962307965915,1,1,,1.0,100.0,0.1,,,
Gradient Boosting,0.25165567398071287,0.0036431716305723423,0.01354060173034668,0.000462651964745862,,"{'model__learning_rate': 0.1, 'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",-9.810028241335601,-11.906417333323382,-9.297501829486198,-20.698415830855577,-10.819646336032214,-12.506401914206595,4.192414307432913,2,1,,1.0,200.0,0.1,,,
Gradient Boosting,0.13971323966979982,0.006360119780905306,0.013753414154052734,0.0026956376060148866,,"{'model__learning_rate': 0.1, 'model__max_depth': 1, 'model__min_samples_leaf': 2, 'model__n_estimators': 100}",-12.333967413442457,-13.504110213858878,-10.10725906181955,-20.640377715680184,-10.011095495786778,-13.319361980117568,3.8952442298614307,17,1,,2.0,100.0,0.1,,,
Gradient Boosting,0.2487358570098877,0.004231266207182404,0.012964487075805664,0.0001428875782734532,,"{'model__learning_rate': 0.1, 'model__max_depth': 1, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",-13.287762739025391,-12.921064836992066,-10.545209662178891,-20.452841106877127,-10.168971197812466,-13.47516990857719,3.7025846699211877,26,1,,2.0,200.0,0.1,,,
Gradient Boosting,0.16622605323791503,0.008035525644655402,0.015494728088378906,0.004785505134476143,,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",-12.533256412196751,-12.6778426046542,-9.34784433389094,-20.816145100385317,-11.400180250815927,-13.355053740388627,3.916148813335902,21,2,,1.0,100.0,0.1,,,
Gradient Boosting,0.3025014400482178,0.0043131266705261,0.01395559310913086,0.0009041111801960275,,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",-13.064994121739492,-12.425435353544408,-9.454077774392832,-20.768166740774845,-11.664041908746762,-13.475343179839669,3.844667893065336,27,2,,1.0,200.0,0.1,,,
