stage,file,rows,columns,column_names
Notebook 3 / ModellingData,Outputs/ModellingData/People_Served_with_Water__2026_04_21_model_ready.csv,11.0,19.0,"region, time_frame, unnamed__2, population_served_with_water_1994_to_april_2025, population_served_with_water_201415, population_served_with_water_201516, population_served_with_water_201617, population_served_with_water_201718, population_served_with_water_201819, population_served_with_water_201920, population_served_with_water_202021, population_served_with_water_202122, population_served_with_water_202223, population_served_with_water_202324, population_served_with_water_202425, population_served_with_water_202526, planned_population_to_be_served_202627, population_served_with_water_201415_change, population_served_with_water_201415_pct_change"
Notebook 3 / ModellingData,Outputs/ModellingData/Piped_Water_Households___2026_04_21_model_ready.csv,10.0,12.0,"region, time_frame, unnamed__2, piped__tap__water_inside_dwelling_institution, piped__tap__water_inside_yard, piped__tap__water_on_community_stand__distance_less_than_200m_fr, piped__tap__water_on_community_stand__distance_between_200m_and, piped__tap__water_on_community_stand__distance_between_500m_and, piped__tap__water_on_community_stand__distance_greater_than_1000, no_access_to_piped__tap__water, unspecified, not_applicable"
Notebook 3 / ModellingData,Outputs/ModellingData/Potable_Systems__2026_04_21_model_ready.csv,61.0,15.0,"region, time_frame, unnamed__2, system_name, system_area, population_in_system, households_in_system, households_with_access_to_rdp_water, households_with_access_to_reliable_water, drinking_water_quality_percentage, latest_blue_drop_score, drinking_water_quality_percentage_change, drinking_water_quality_percentage_pct_change, latest_blue_drop_score_change, latest_blue_drop_score_pct_change"
Notebook 3 / ModellingData,Outputs/ModellingData/Protests_Identified_by_Municipal_IQ__2026_04_21_model_ready.csv,11.0,42.0,"region, time_frame, unnamed__2, total_protests, informal, violent, xenophobia, criminality, corruption, councillor, water, sanitation, electricity, refuse_removal, roads, housing, total_protests_change, total_protests_pct_change, informal_change, informal_pct_change, violent_change, violent_pct_change, xenophobia_change, xenophobia_pct_change, criminality_change, criminality_pct_change, corruption_change, corruption_pct_change, councillor_change, councillor_pct_change, water_change, water_pct_change, sanitation_change, sanitation_pct_change, electricity_change, electricity_pct_change, refuse_removal_change, refuse_removal_pct_change, roads_change, roads_pct_change, housing_change, housing_pct_change"
Notebook 3 / ModellingData,Outputs/ModellingData/Surface_Water_Storage__2014-2020__model_ready.csv,374.0,25.0,"datetime, high, moderately_high, normal, moderately_low, low, very_low, 2018_2019, 2019_2020, high_change, high_pct_change, moderately_high_change, moderately_high_pct_change, normal_change, normal_pct_change, moderately_low_change, moderately_low_pct_change, low_change, low_pct_change, very_low_change, very_low_pct_change, 2018_2019_change, 2018_2019_pct_change, 2019_2020_change, 2019_2020_pct_change"
Notebook 3 / ModellingData,Outputs/ModellingData/Surface_Water_Storage___2020_-2026__model_ready.csv,375.0,25.0,"datetime, high, moderately_high, normal, moderately_low, low, very_low, 2024_2025, 2025_2026, high_change, high_pct_change, moderately_high_change, moderately_high_pct_change, normal_change, normal_pct_change, moderately_low_change, moderately_low_pct_change, low_change, low_pct_change, very_low_change, very_low_pct_change, 2024_2025_change, 2024_2025_pct_change, 2025_2026_change, 2025_2026_pct_change"
Notebook 3 / ModellingData,Outputs/ModellingData/Total_Households__2026_04_21_model_ready.csv,11.0,10.0,"region, time_frame, unnamed__2, total_households, total_population, hh_density, urban_households, rural_households, hh_density_change, hh_density_pct_change"
Notebook 3 / ModellingData,Outputs/ModellingData/Total_Population__2026_04_21_model_ready.csv,11.0,10.0,"region, time_frame, unnamed__2, total_population, total_households, hh_density, urban_population, rural_population, hh_density_change, hh_density_pct_change"
Notebook 3 / ModellingData,Outputs/ModellingData/Verified_-_River_Flow___National___model_ready.csv,7.0,4.0,"flow, flow_level, flow_level_change, flow_level_pct_change"
Notebook 3 / ModellingData,Outputs/ModellingData/Vulnerability_Score_Per_leg__2026_04_21_model_ready.csv,11.0,21.0,"region, time_frame, unnamed__2, 1__water_services_planning, 4__technical_staff_capacity__numbers, 6__water_conservation___water_demand_management__wc_wdm, 7__drinking_water_safety___regulatory_compliance, 10__infrastructure_asset_management__iam, 11__operation___maintenance__o_m__of_assets, 1__water_services_planning_change, 1__water_services_planning_pct_change, 4__technical_staff_capacity__numbers_change, 4__technical_staff_capacity__numbers_pct_change, 6__water_conservation___water_demand_management__wc_wdm_change, 6__water_conservation___water_demand_management__wc_wdm_pct_change, 7__drinking_water_safety___regulatory_compliance_change, 7__drinking_water_safety___regulatory_compliance_pct_change, 10__infrastructure_asset_management__iam_change, 10__infrastructure_asset_management__iam_pct_change, 11__operation___maintenance__o_m__of_assets_change, 11__operation___maintenance__o_m__of_assets_pct_change"
